name,population,price_all,price_house,price_apartment
Paris,2133111,2048.0278276653235,1927.7333661079397,2636.6959182490523
Marseille,873076,2048.0278276653235,1927.7333661079397,2636.6959182490523
Lyon,522250,2048.0278276653235,1927.7333661079397,2636.6959182490523
Toulouse,504078,2048.0278276653235,1927.7333661079397,2636.6959182490523
Nice,348085,2048.0278276653235,1927.7333661079397,2636.6959182490523
Nantes,323204,2048.0278276653235,1927.7333661079397,2636.6959182490523
Montpellier,302454,2048.0278276653235,1927.7333661079397,2636.6959182490523
Strasbourg,291313,2048.0278276653235,1927.7333661079397,2636.6959182490523
Bordeaux,261804,2048.0278276653235,1927.7333661079397,2636.6959182490523
Lille,236710,2048.0278276653235,1927.7333661079397,2636.6959182490523
